device,x,y,rssi
1,22.51,22.51,-73.8779
6,22.51,22.51,-74.1312
7,22.51,22.51,-74.7093
1,22.51,22.51,-75.7525
4,22.51,22.51,-77.1743
5,22.51,22.51,-77.1743
8,22.51,22.51,-78.3407
9,22.3333,22.3333,-71.2255
2,22.3333,22.3333,-71.5659
3,22.3333,22.3333,-72.468
1,22.3333,22.3333,-73.9684
6,22.3333,22.3333,-74.1938
7,22.3333,22.3333,-74.8101
1,22.3333,22.3333,-75.6499
4,22.3333,22.3333,-77.1836
5,22.3333,22.3333,-77.1836
8,22.3333,22.3333,-78.4242
9,22.1565,22.1565,-71.1361
2,22.1565,22.1565,-71.4438
3,22.1565,22.1565,-72.4246
1,22.1565,22.1565,-74.0588
6,22.1565,22.1565,-74.2569
7,22.1565,22.1565,-74.9103
1,22.1565,22.1565,-75.5464
4,22.1565,22.1565,-77.1936
5,22.1565,22.1565,-77.1936
8,22.1565,22.1565,-78.5073
9,21.9797,21.9797,-71.0471
2,21.9797,21.9797,-71.321
3,21.9797,21.9797,-72.3822
1,21.9797,21.9797,-74.1489
6,21.9797,21.9797,-74.3204
7,21.9797,21.9797,-75.0098
1,21.9797,21.9797,-75.4421
4,21.9797,21.9797,-77.2042
5,21.9797,21.9797,-77.2042
8,21.9797,21.9797,-78.5898
9,21.8029,21.8029,-70.9586
2,21.8029,21.8029,-71.1975
3,21.8029,21.8029,-72.3409
1,21.8029,21.8029,-74.2388
6,21.8029,21.8029,-74.3842
7,21.8029,21.8029,-75.1087
1,21.8029,21.8029,-75.337
4,21.8029,21.8029,-77.2154
5,21.8029,21.8029,-77.2154
8,21.8029,21.8029,-78.6717
9,21.6262,21.6262,-70.8706
2,21.6262,21.6262,-71.0732
3,21.6262,21.6262,-72.3007
1,21.6262,21.6262,-74.3285
6,21.6262,21.6262,-74.4484
1,21.6262,21.6262,-75.231
7,21.6262,21.6262,-75.2071
4,21.6262,21.6262,-77.2273
5,21.6262,21.6262,-77.2273
8,21.6262,21.6262,-78.7532
2,21.4494,21.4494,-70.9481
9,21.4494,21.4494,-70.783
3,21.4494,21.4494,-72.2616
1,21.4494,21.4494,-74.418
6,21.4494,21.4494,-74.513
1,21.4494,21.4494,-75.1241
7,21.4494,21.4494,-75.3048
4,21.4494,21.4494,-77.2398
5,21.4494,21.4494,-77.2398
8,21.4494,21.4494,-78.8342
9,21.2726,21.2726,-70.6961
2,21.2726,21.2726,-70.8223
3,21.2726,21.2726,-72.2237
6,21.2726,21.2726,-74.5778
1,21.2726,21.2726,-74.5072
1,21.2726,21.2726,-75.0164
7,21.2726,21.2726,-75.4019
4,21.2726,21.2726,-77.2528
5,21.2726,21.2726,-77.2528
8,21.2726,21.2726,-78.9146
2,21.0958,21.0958,-70.6958
9,21.0958,21.0958,-70.6097
3,21.0958,21.0958,-72.1869
1,21.0958,21.0958,-74.5962
6,21.0958,21.0958,-74.643
1,21.0958,21.0958,-74.9077
7,21.0958,21.0958,-75.4984
4,21.0958,21.0958,-77.2665
5,21.0958,21.0958,-77.2665
8,21.0958,21.0958,-78.9946
2,20.9191,20.9191,-70.5686
9,20.9191,20.9191,-70.5239
3,20.9191,20.9191,-72.1513
6,20.9191,20.9191,-74.7085
1,20.9191,20.9191,-74.6849
1,20.9191,20.9191,-74.7981
7,20.9191,20.9191,-75.5944
4,20.9191,20.9191,-77.2808
5,20.9191,20.9191,-77.2808
8,20.9191,20.9191,-79.0741
2,20.7423,20.7423,-70.4406
9,20.7423,20.7423,-70.4388
3,20.7423,20.7423,-72.1169
1,20.7423,20.7423,-74.6877
6,20.7423,20.7423,-74.7743
1,20.7423,20.7423,-74.7733
7,20.7423,20.7423,-75.6897
4,20.7423,20.7423,-77.2957
5,20.7423,20.7423,-77.2957
8,20.7423,20.7423,-79.1531
2,20.5655,20.5655,-70.312
9,20.5655,20.5655,-70.3545
3,20.5655,20.5655,-72.0838
1,20.5655,20.5655,-74.5762
6,20.5655,20.5655,-74.8403
1,20.5655,20.5655,-74.8615
7,20.5655,20.5655,-75.7845
4,20.5655,20.5655,-77.3112
5,20.5655,20.5655,-77.3112
8,20.5655,20.5655,-79.2316
2,20.3887,20.3887,-70.1826
9,20.3887,20.3887,-70.2708
3,20.3887,20.3887,-72.0519
1,20.3887,20.3887,-74.4638
6,20.3887,20.3887,-74.9066
1,20.3887,20.3887,-74.9495
7,20.3887,20.3887,-75.8787
4,20.3887,20.3887,-77.3273
5,20.3887,20.3887,-77.3273
8,20.3887,20.3887,-79.3097
2,20.212,20.212,-70.0525
9,20.212,20.212,-70.188
3,20.212,20.212,-72.0212
1,20.212,20.212,-74.3505
6,20.2119,20.2119,-74.9731
1,20.2119,20.2119,-75.0371
7,20.2119,20.2119,-75.9724
4,20.2119,20.2119,-77.344
5,20.2119,20.2119,-77.344
8,20.2119,20.2119,-79.3873
2,20.0352,20.0352,-69.9217
9,20.0352,20.0352,-70.106
3,20.0352,20.0352,-71.9919
1,20.0352,20.0352,-74.2361
6,20.0352,20.0352,-75.0398
1,20.0352,20.0352,-75.1245
7,20.0352,20.0352,-76.0655
4,20.0352,20.0352,-77.3612
5,20.0352,20.0352,-77.3612
8,20.0352,20.0352,-79.4644
2,19.8584,19.8584,-69.7903
9,19.8584,19.8584,-70.0249
3,19.8584,19.8584,-71.9638
